trailtext,trail,bodypart,instruction,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stimuli.thisRepN,stimuli.thisTrialN,stimuli.thisN,stimuli.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,space,1.08442274424,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 1,1,right_hand,Right Hand,0,0,0,0,0,0,0,1,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 1,1,left_foot,Left Foot,0,0,0,0,0,1,1,2,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 1,1,left_hand,Left Hand,0,0,0,0,0,2,2,0,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 1,1,right_foot,Right Foot,0,0,0,0,0,3,3,3,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 1,1,,,0,0,0,0,,,,,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 2,2,right_hand,Right Hand,0,1,1,1,0,0,0,1,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 2,2,right_foot,Right Foot,0,1,1,1,0,1,1,3,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 2,2,left_foot,Left Foot,0,1,1,1,0,2,2,2,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 2,2,left_hand,Left Hand,0,1,1,1,0,3,3,0,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
Trail 2,2,,,0,1,1,1,,,,,,,,,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
,,,,,,,,,,,,,,,,,,space,2.58345001966,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
,,right_foot,Right Foot,,,,,,,,,0,0,0,3,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
,,right_hand,Right Hand,,,,,,,,,0,1,1,1,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
,,left_hand,Left Hand,,,,,,,,,0,2,2,0,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
,,left_foot,Left Foot,,,,,,,,,0,3,3,2,,,,,2016_jan_20_1802,59.9290011337,simple_imagined_movement,001,,
